_id,spoj_solve_rate_normalized,spoj_title,spoj_words,codechef_solve_rate_normalized,codechef_title,codechef_words,ltable_ID,rtable_ID,exact_title_match,diff_in_words_len,jaccard_sim,edit_dist,lr_pred_match
8300,-0.264153508372,AMR12H,"    Wormtongue looked from face to face. In his eyes was the hunted look of a beast seeking some gap in the ring of his enemies.  'Nay, Eomer, you do not fully understand the mind of Master Wormtongue,' said Gandalf, turning his piercing glance upon him. 'He is bold and cunning. Even now he plays a game with peril and wins a throw.' - Gandalf, trying to figure out Wormtongue's mind.  In fact, Wormtongue's mind is a complicated system of evaluating various variables and parameters. In essence, each parameter is a uniform random floating point variable between 0 and 1 (inclusive). Further, his mind works on calculating best and worst-case values, which are equivalent to min/max of 2 expressions.  For example, right now Wormtongue is calculating :  'Chances of escaping' = max('Theoden letting me go', 'Me killing everyone')  'Theoden letting me go' = max('Theoden is forgiving by nature', 'Gandalf advises him to let me go').  'Me killing everyone' = min('Me killing Gandalf', 'Me killing Theoden').  So, you are given an expression consisting of independent uniform [0, 1] random variables, on which you have an expression consisting of ""min"", and ""max"" alone. Help Gandalf figure out Wormtongue's mind by finding the expected value of this expression.  Input (STDIN):  The first line contains T, the number of test cases.  Each test case consists of a single line describing the expression. The characters of the string are derived from the set {'M','m','x'}, where 'M' stands for max, 'm' stands for min, and 'x' is a random variable  Formally, in the expression tree, each node which asks for max is labeled as 'M', each node which asks for min is labelled 'm', and all the leaves are labeled 'x'. The description of the expression is preorder traversal of this tree.  For example, Mxmxx describes the expression max(x1, min(x2, x3)).  Output (STDOUT):  For each test case, output one line which contains the expected value of the expression. The results should be accurate within an error range of 10^-6.  Constraints:  1 <= T <= 1,000  1 <= input string length <= 100  Sample Input:  4  x  mxx  Mxx  MmxxMxx  Sample Output:  0.500000  0.333333  0.666667  0.700000  Notes/Explanation of Sample Input:  For the first test case, it asks for the mean of a random number between 0 and 1, which is 0.5.  Note:  It is recommended to use long long and long double data types in calculation to avoid precision errors.  Wormtongue looked from face to face. In his eyes was the hunted look of a beast seeking some gap in the ring of his enemies.  'Nay, Eomer, you do not fully understand the mind of Master Wormtongue,' said Gandalf, turning his piercing glance upon him. 'He is bold and cunning. Even now he plays a game with peril and wins a throw.' - Gandalf, trying to figure out Wormtongue's mind.    In fact, Wormtongue's mind is a complicated system of evaluating various variables and parameters. In essence, each parameter is a uniform random floating point variable between 0 and 1 (inclusive). Further, his mind works on calculating best and worst-case values, which are equivalent to min/max of 2 expressions.    For example, right now Wormtongue is calculating :  'Chances of escaping' = max('Theoden letting me go', 'Me killing everyone')  'Theoden letting me go' = max('Theoden is forgiving by nature', 'Gandalf advises him to let me go').  'Me killing everyone' = min('Me killing Gandalf', 'Me killing Theoden').    So, you are given an expression consisting of independent uniform [0, 1] random variables, on which you have an expression consisting of ""min"", and ""max"" alone. Help Gandalf figure out Wormtongue's mind by finding the expected value of this expression.    Input (STDIN):  The first line contains T, the number of test cases.  Each test case consists of a single line describing the expression. The characters of the string are derived from the set {'M','m','x'}, where 'M' stands for max, 'm' stands for min, and 'x' is a random variable  Formally, in the expression tree, each node which asks for max is labeled as 'M', each node which asks for min is labelled 'm', and all the leaves are labeled 'x'. The description of the expression is preorder traversal of this tree.  For example, Mxmxx describes the expression max(x1, min(x2, x3)).    Output (STDOUT):  For each test case, output one line which contains the expected value of the expression. The results should be accurate within an error range of 10^-6.    Constraints:  1 <= T <= 1,000  1 <= input string length <= 100    Sample Input:  4  x  mxx  Mxx  MmxxMxx    Sample Output:  0.500000  0.333333  0.666667  0.700000    Notes/Explanation of Sample Input:  For the first test case, it asks for the mean of a random number between 0 and 1, which is 0.5.    Note:  It is recommended to use long long and long double data types in calculation to avoid precision errors.     ",-0.201473026696,MINMAX,"ACM International Collegiate Programming Contest, Asia-Amritapuri Site, 2012Wormtongue's MindWormtongue looked from face to face. In his eyes was the hunted look of a beast seeking some gap in the ring of his enemies.
'Nay, Eomer, you do not fully understand the mind of Master Wormtongue,' said Gandalf, turning his piercing glance upon him. 'He is bold and cunning. Even now he plays a game with peril and wins a throw.' - Gandalf, trying to figure out Wormtongue's mind.

In fact, Wormtongue's mind is a complicated system of evaluating various variables and parameters. In essence, each parameter is a uniform random floating point variable between 0 and 1 (inclusive). Further, his mind works on calculating best and worst-case values, which are equivalent to min/max of 2 expressions.

For example, right now Wormtongue is calculating :
'Chances of escaping' = max('Theoden letting me go', 'Me killing everyone')
'Theoden letting me go' = max('Theoden is forgiving by nature', 'Gandalf advises him to let me go').
'Me killing everyone' = min('Me killing Gandalf', 'Me killing Theoden').

So, you are given an expression consisting of independent uniform [0, 1] random variables, on which you have an expression consisting of ""min"", and ""max"" alone. Help Gandalf figure out Wormtongue's mind by finding the expected value of this expression.The first line contains T, the number of test cases.
Each test case consists of a single line describing the expression. The characters of the string are derived from the set {'M','m','x'}, where 'M' stands for max, 'm' stands for min, and 'x' is a random variable
Formally, in the expression tree, each node which asks for max is labeled as 'M', each node which asks for min is labelled 'm', and all the leaves are labeled 'x'. The description of the expression is preorder traversal of this tree.
For example, Mxmxx describes the expression max(x1, min(x2, x3)).For each test case, output one line which contains the expected value of the expression. The results should be accurate within an error range of 10^-6.",768,3263,0,574,0.697318007663,6,1
10416,0.775540265948,PT07X,"  You are given an unweighted, undirected tree.
Write a program to find a vertex set of minimum size in this tree such that each edge has as least one of its end-points in that set.   The first line of the input file contains one integer N --- number of nodes in the tree
(0 N N-1 lines contain N -1 edges of that tree --- Each line contains a pair ( u , v ) means
there is an edge between node u and node v (1 u, v N).   Print number of nodes in the satisfied vertex set on one line.  Example 1   Input: 3
1 2
1 3 Output: 1 Explanation: The set can be {1}  Example 2   Input: 3
1 2
2 3 Output: 1 Explanation: The set can be {2} ",-0.0563094714084,PD31,"You are given an unweighted, undirected graph. Write a program to check if it's a tree topology.The first line of the input file contains two integers N and M --- number of nodes and number of edges in the graph (0 < N <= 10000, 0 <= M <= 20000). Next M lines contain M edges of that graph --- Each line contains a pair (u, v) means there is an edge between node u and node v (1 <= u,v <= N).Print YES if the given graph is a tree, otherwise print NO.",1066,4697,0,46,0.327272727273,4,1
10420,3.56187605955,PT07Y,"  You are given an unweighted, undirected graph.
Write a program to check if it's a tree topology.   The first line of the input file contains two integers N and M --- number of nodes and number of edges in the graph
(0 N M M lines contain M edges of that graph --- Each line contains a pair ( u , v ) means
there is an edge between node u and node v (1 u, v N).   Print YES if the given graph is a tree, otherwise print NO .  Example   Input: 3 2
1 2
2 3 Output: YES ",-0.0563094714084,PD31,"You are given an unweighted, undirected graph. Write a program to check if it's a tree topology.The first line of the input file contains two integers N and M --- number of nodes and number of edges in the graph (0 < N <= 10000, 0 <= M <= 20000). Next M lines contain M edges of that graph --- Each line contains a pair (u, v) means there is an edge between node u and node v (1 <= u,v <= N).Print YES if the given graph is a tree, otherwise print NO.",1067,4697,0,12,0.559523809524,4,1
10424,2.88827874646,PT07Z,"  You are given an unweighted, undirected tree.
Write a program to output the length of the longest path (from one node to another) in that tree.
The length of a path in this case is number of edges we traverse from source to destination.   The first line of the input file contains one integer N --- number of nodes in the tree
(0 N N-1 lines contain N -1 edges of that tree --- Each line contains a pair ( u , v ) means
there is an edge between node u and node v (1 u, v N).   Print the length of the longest path on one line.  Example   Input: 3
1 2
2 3 Output: 2 ",-0.0563094714084,PD31,"You are given an unweighted, undirected graph. Write a program to check if it's a tree topology.The first line of the input file contains two integers N and M --- number of nodes and number of edges in the graph (0 < N <= 10000, 0 <= M <= 20000). Next M lines contain M edges of that graph --- Each line contains a pair (u, v) means there is an edge between node u and node v (1 <= u,v <= N).Print YES if the given graph is a tree, otherwise print NO.",1068,4697,0,28,0.352941176471,4,1
10427,-0.319146662788,MATOPE,"  There is a set of points in the 2D plane. Mario starts at the point with the least X and greatest Y value, and ends at the point with the greatest X and least Y value where princess Peach is waiting for him. The rules for the movement are:  a) Mario can not move to a point with a lesser X value as compared to the X value of the point he is on.  b) For points having the same X value, Mario needs to visit the point with the greatest Y value before visiting the next point with the same X value.  So, if there are 2 points: (0,2 and 2,0) Mario would start with (0,2) - i.e. least X takes precedence over greatest Y.  c) Mario needs to visit every point in the set.    Now, Princess Peach wants you to write a code to find the distance Mario has to travel to meet her.   First line of the input would have an integer t(1<=t<=3) representing the number of test cases. A new line follows; after which the t test cases are given. Each test case starts with a blank line followed by an integer n(2<=n<=100000), which represents the number of points to follow. Following n lines would have a pair of integers (X and Y coordinates (0<=X,Y<=10000) ) separated by a single space.   For each test case, print the total distance Mario has to travel from start to finish; keeping in mind the rules mentioned above, correct to 2 decimal places.  Example  Input:  3  2  0 0  0 1 3 0 0  3 3  2 2  4  0 0  1 15  1 7  2 1  Output:  1.00 4.24
29.12  ",0.145606927079,POINTS,"You are given a set of points in the 2D plane. You start at the point with the least X and greatest Y value, and end at the point with the greatest X and least Y value. The rule for movement is that you can not move to a point with a lesser X value as compared to the X value of the point you are on. Also for points having the same X value, you need to visit the point with the greatest Y value before visiting the next point with the same X value. So, if there are 2 points: (0,4 and 4,0) we would start with (0,4) - i.e. least X takes precedence over greatest Y. You need to visit every point in the plane.You will be given an integer t(1<=t<=20) representing the number of test cases. A new line follows; after which the t test cases are given. Each test case starts with a blank line followed by an integer n(2<=n<=100000), which represents the number of points to follow. This is followed by a new line. Then follow the n points, each being a pair of integers separated by a single space; followed by a new line. The X and Y coordinates of each point will be between 0 and 10000 both inclusive.For each test case, print the total distance traveled by you from start to finish; keeping in mind the rules mentioned above, correct to 2 decimal places. The result for each test case must be on a new line.",1070,3890,0,55,0.553072625698,6,1
10661,0.413516720682,LOOPEXP,"  Consider the following pseudo-code  int a[1..N];  int max = -1;  for i = 1..N:   if(a[i] > max)   max = a[i];    Your task is to calculate the expected number of times the 'if' block of the above pseudo-code executes. The array 'a' is a random permutation of numbers from 1..N chosen uniformly at random.   First line contains t, the number of test cases. t lines follow, each containing N, the number of elements in the array.  1<= t <= 100  1<= n <=100,000   For each test case, output a single decimal. Your answer should be within 10^-6 of the correct answer.  Example  Input: 1  2 Output:   1.5  Explaination :  for N=2, you can have the following two permutations: [1,2]  and [2,1] .  for the first case the if block gets executed 2 times and for the second one the if block gets executed 1 time. So the expected  value is (3)/2 = 1.5 ",-0.209035028638,CDGNCD,"Aladdin is trying to teach coding to his Genie.
After teaching him the concepts, he gives him the following pseudo code :-int a[1..N]; 
int max = -1;
for i = 1..N:
   if(a[i] > max) 
       max = a[i];In order to assess his level of understanding, he asks his Genie to calculate the expected number of times the 'if' block of the above pseudo-code executes.
The array 'a' is a random permutation of numbers from 1..N chosen uniformly at random.First line contains t, the number of test cases. t lines follow, each containing N, the number of elements in the array.For each test case, output a single decimal.
Your answer should be within 10-6 of the correct answer.",1120,780,0,60,0.402985074627,7,1
10668,-0.174322150918,TAUT,"  Write a program that checks if the given logical expression is a tautology. The logical expression is a tautology if it is always true, regardless of logical value of its variables.   On the first line there is the number of expressions to check (at most 35). The expression is in a prefix notation, that means that operator precedes its arguments. The following logical operators will be used:  C - and 
D - or
I - implies
E - if, and only if
N - not  The variables will be lowercase letters (a-z). There will be no more than 16 different letters in the expression. The length of the expression will not exceed 111 characters.   For each expression write one word: YES if it is a tautology, NO in other case.  Example  Sample input: 7
IIpqDpNp
NCNpp
Iaz
NNNNNNNp
IIqrIIpqIpr
Ipp
Ezz Sample output: YES
YES
NO
NO
YES
YES
YES ",-0.199914452027,TAUT,"Write a program that checks if the given logical expression is a tautology. The logical expression is a tautology if it is always true, regardless of logical value of its variables.On the first line there is the number of expressions to check (at most 35). The expression is in a prefix notation, that means that operator precedes its arguments. The following logical operators will be used:C - and 
D - or
I - implies
E - if, and only if
N - notThe variables will be lowercase letters (a-z). There will be no more than 16 different letters in the expression. The length of the expression will not exceed 111 characters.For each expression write one word: YES if it is a tautology, NO in other case.",1121,4309,1,22,0.813186813187,0,1
10814,-0.294705756433,PT07B,"  You are given an unweighted, undirected tree T .
We say T is special iff it has this property:  ""All nodes of degree greater than or equal to 3 are surrounded by at most two nodes of degree two or greater.""  Finding maximal size subtree of this tree so that it's a special tree.   The first line of the input file contains one integer N --- number of nodes in the tree
(0 N 6). Next N -1 lines contain N -1 edges of that tree --- Each line contains a pair ( u , v ) means
there is an edge between node u and node v (1 u, v N).   At the first line, output number of nodes in the optimal subtree you found.
Next lines, print all edges belong to that subtree, each line contains a pair u  v means an edge between node u and node v .  Example   Input: 5
1 2
2 3
2 4
2 5 Output: 5
1 2
2 3
2 4
2 5 ",-0.0563094714084,PD31,"You are given an unweighted, undirected graph. Write a program to check if it's a tree topology.The first line of the input file contains two integers N and M --- number of nodes and number of edges in the graph (0 < N <= 10000, 0 <= M <= 20000). Next M lines contain M edges of that graph --- Each line contains a pair (u, v) means there is an edge between node u and node v (1 <= u,v <= N).Print YES if the given graph is a tree, otherwise print NO.",1151,4697,0,80,0.322580645161,4,1
10973,0.212307989936,GCJ1C09A,"  Problem  In A.D. 2100, aliens came to Earth.  They wrote a message in a  cryptic language, and next to it they wrote a series of symbols.  We've  come to the conclusion that the symbols indicate a number: the number of  seconds before war begins!  Unfortunately we have no idea what each symbol means.  We've decided  that each symbol indicates one digit, but we aren't sure what each digit  means or what base the aliens are using.  For example, if they wrote  ""ab2ac999"", they could have meant ""31536000"" in base 10 -- exactly one  year -- or they could have meant ""12314555"" in base 6 -- 398951 seconds,  or about four and a half days. We are sure of three things: the number  is positive; like us, the aliens will never start a number with a zero;  and they aren't using unary (base 1).  Your job is to determine the minimum possible number of seconds before war begins.   The first line of input contains a single integer, T . T test cases follow. Each test case is a string on a line by itself. The  line will contain only characters in the 'a' to 'z' and '0' to '9'  ranges (with no spaces and no punctuation), representing the message the  aliens left us.  The test cases are independent, and can be in  different bases with the symbols meaning different things.   For each test case, output a line in the following format:  Case # X : V  Where X is the case number (starting from 1) and V is the minimum number of seconds before war begins.  Limits  1  T  100 The answer will never exceed 10 18  1  the length of each line < 61  Sample      Input     Output      3 11001001 cats zig   Case #1: 201 Case #2: 75 Case #3: 11    ",-0.208381419904,D02,"Ancient Maya civilization Message was found during excavation process.They wrote the message in cryptic language and next to it wrote a series of symbols.We Have come to conclusion that symbols indicate a number :the number of seconds before the world ends.Unfortunately we have no idea what each symbol means.We have decided that each symbol indicates a digit, but we are not sure what each digit means or what base Maya civilization people are using. For example, if they wrote ""ab2ac999"", they could have meant ""31536000"" in base 10 -- exactly one year -- or they could have meant ""12314555"" in base 6 -- 398951 seconds, or about four and a half days. We are sure of three things: the number is positive; the Maya people will never start a number with a zero; and they aren't using unary (base 1).Your job is to determine the minimum possible number of seconds before world ends.The Input line contain only characters in the 'a' to 'z' and '0' to '9' ranges (with no spaces and no punctuation), representing the message the Maya people wrote.Display the minimum number of seconds before the world ends.Constraints:
1 ≤ the length of input line < 10",1173,2225,0,159,0.479591836735,7,1
10974,0.212307989936,GCJ1C09A,"  Problem  In A.D. 2100, aliens came to Earth.  They wrote a message in a  cryptic language, and next to it they wrote a series of symbols.  We've  come to the conclusion that the symbols indicate a number: the number of  seconds before war begins!  Unfortunately we have no idea what each symbol means.  We've decided  that each symbol indicates one digit, but we aren't sure what each digit  means or what base the aliens are using.  For example, if they wrote  ""ab2ac999"", they could have meant ""31536000"" in base 10 -- exactly one  year -- or they could have meant ""12314555"" in base 6 -- 398951 seconds,  or about four and a half days. We are sure of three things: the number  is positive; like us, the aliens will never start a number with a zero;  and they aren't using unary (base 1).  Your job is to determine the minimum possible number of seconds before war begins.   The first line of input contains a single integer, T . T test cases follow. Each test case is a string on a line by itself. The  line will contain only characters in the 'a' to 'z' and '0' to '9'  ranges (with no spaces and no punctuation), representing the message the  aliens left us.  The test cases are independent, and can be in  different bases with the symbols meaning different things.   For each test case, output a line in the following format:  Case # X : V  Where X is the case number (starting from 1) and V is the minimum number of seconds before war begins.  Limits  1  T  100 The answer will never exceed 10 18  1  the length of each line < 61  Sample      Input     Output      3 11001001 cats zig   Case #1: 201 Case #2: 75 Case #3: 11    ",-0.205377547701,SCNDWAR,"Intelligence Bureau(IB) has found an email conversation between Osama bin Laden and Al-Qaeda People in cryptic language. The email contains some encrypted message and some symbols next to it. IB people were able to decrypt the message containing details of planning for a bomb blast in Mumbai but were unable to decrypt the symbols. They have come to a conclusion that each symbol represents a digit and the decrypted symbols represents the number of seconds remaining for the bomb blast. They have to decrypt the symbols so that they can plan to vacant the site well before time.They have no idea what each symbol means. They were not sure what each digit means or what base the Al-Qaeda people were using. For example, if Al-Qaeda people wrote “mn5mo888”, they could have meant “31536000” in base 10 -- exactly 1 year or they could have meant “21325444” in base 6 -- 633700 seconds. IB people were sure of 3 things: the number is positive, number never start with zero and Al-Qaeda people were not using unary ( base 1 ).


Help the IB people to determine the minimum possible number of seconds remaining for the bomb blast.The first line of input contains a single integer, T. T test cases follow. Each test case is a string on a line by itself. The line will contain only characters in the 'a' to 'z' and '0' to '9' ranges (with no spaces and no punctuation), representing the message. The test cases are independent, and can be in different bases with the symbols meaning different things.For each test case, output a line with the minimum number of seconds before the bomb blasts.",1173,2824,0,80,0.416666666667,7,1
10982,0.0305712814297,GCJ1C09C,"            Problem  In a kingdom there are prison cells (numbered 1 to P ) built to form a straight line segment. Cells number i and i+1 are adjacent, and prisoners in adjacent cells are called ""neighbours.""    A wall with a window separates adjacent cells, and neighbours can  communicate through that window.  All prisoners live in peace until a prisoner is released.  When that  happens, the released prisoner's neighbours find out, and each  communicates this to his other neighbour.  That prisoner passes it on to his other neighbour, and so on until they reach a prisoner with no other neighbour (because he is in cell 1, or in cell P ,  or the other adjacent cell is empty).  A prisoner who discovers that  another prisoner has been released will angrily break everything in his  cell, unless he is bribed with a gold coin. So, after releasing a  prisoner in cell A , all prisoners housed on either side of cell A - until cell 1, cell P or an empty cell - need to be bribed.  Assume that each prison cell is initially occupied by exactly one  prisoner, and that only one prisoner can be released per day. Given the  list of Q prisoners to be released in Q days, find the minimum total number of gold coins needed as bribes if the prisoners may be released in any order.  Note that each bribe only has an effect for one day. If a prisoner who  was bribed yesterday hears about another released prisoner today, then  he needs to be bribed again.   The first line of input gives the number of cases, N . N test cases follow. Each case consists of 2 lines. The first line is formatted as  P Q where P is the number of prison cells and Q is the number of prisoners to be released. This will be followed by a line with Q distinct cell numbers (of the prisoners to be released), space separated, sorted in ascending order.  For each test case, output one line in the format  Case #X: C where X is the case number, starting from 1, and C is the minimum number of gold coins needed as bribes. Limits  1  N  100  Q  P Each cell number is between 1 and P , inclusive.  Large dataset  1  P  10000 1  Q  100  Sample       Input     Output      2 8 1 3 20 3 3 6 14   Case #1: 7 Case #2: 35       Note  In the second sample case, you first release the person in cell 14, then  cell 6, then cell 3. The number of gold coins needed is 19 + 12 + 4 =  35. If you instead release  the person in cell 6 first, the cost will be  19 + 4 + 13 = 36.  ",-0.207990034076,PRSN," At Area-51, USA, there is an advanced biological laboratory with compartments (numbered 1 to M) forming a straight line segment. There are genetically modified monkeys present in the lab, which can communicate with each other as humans do. Compartments number i and i+1 are adjacent, and monkeys in adjacent compartments are called ""neighbours."" A wall with a window separates adjacent compartments, and neighbours can communicate through that window.


All monkeys live in peace until a monkey is released. When that happens, the released monkey's neighbours find out, and each communicates this to his other neighbour in their own language. That monkey passes it on to his other neighbour, and so on until they reach a monkey with no other neighbour (because he is in cell 1, or in cell M, or the other adjacent cell is empty). A monkey who discovers that another monkey has been released will angrily break everything in his cell, unless he is bribed with a banana. So, after releasing a monkey in cell A, all monkeys housed on either side of cell A - until cell 1, cell M or an empty cell - need to be bribed.


Assume that each compartment is initially occupied by exactly one monkey, and that only one monkey can be released per day. Given the list of Z monkeys to be released in Z days, find the minimum total number of bananas needed as bribes if the monkeys may be released in any order.


Note that each bribe only has an effect for one day. If a monkey who was bribed yesterday finds out about another released monkey today, then he needs to be bribed again. The first line of input gives the number of cases, N. N test cases follow. Each case consists of 2 lines. The first line is as:

M Z

where M is the number of compartments and Z is the number of monkeys to be released.
This will be followed by a line with Z distinct cell numbers (of the monkeys to be released), sorted in ascending order and space separated.For each test case, output a line with the minimum number of bananas needed as bribes.",1175,2152,0,185,0.532075471698,8,1
10988,-0.318922388776,GCJ1C9CS,"           Hard version: GCJ1C09C  Problem  In a kingdom there are prison cells (numbered 1 to P ) built to form a straight line segment. Cells number i and i+1 are adjacent, and prisoners in adjacent cells are called ""neighbours.""     A wall with a window separates adjacent cells, and neighbours can   communicate through that window.  All prisoners live in peace until a prisoner is released.  When that   happens, the released prisoner's neighbours find out, and each   communicates this to his other neighbour.  That prisoner passes it on to his other neighbour, and so on until they reach a prisoner with no other neighbour (because he is in cell 1, or in cell P ,   or the other adjacent cell is empty).  A prisoner who discovers that   another prisoner has been released will angrily break everything in his   cell, unless he is bribed with a gold coin. So, after releasing a   prisoner in cell A , all prisoners housed on either side of cell A - until cell 1, cell P or an empty cell - need to be bribed.  Assume that each prison cell is initially occupied by exactly one   prisoner, and that only one prisoner can be released per day. Given the   list of Q prisoners to be released in Q days, find the minimum total number of gold coins needed as bribes if the prisoners may be released in any order.  Note that each bribe only has an effect for one day. If a prisoner  who  was bribed yesterday hears about another released prisoner today,  then  he needs to be bribed again.   The first line of input gives the number of cases, N . N test cases follow. Each case consists of 2 lines. The first line is formatted as  P Q where P is the number of prison cells and Q is the number of prisoners to be released. This will be followed by a line with Q distinct cell numbers (of the prisoners to be released), space separated, sorted in ascending order.  For each test case, output one line in the format  Case #X: C where X is the case number, starting from 1, and C is the minimum number of gold coins needed as bribes. Limits  1  N  100  Q  P Each cell number is between 1 and P , inclusive.  Small dataset 1  P  100 1  Q  5  Sample       Input     Output      2 8 1 3 20 3 3 6 14   Case #1: 7 Case #2: 35       Note  In the second sample case, you first release the person in cell 14,  then  cell 6, then cell 3. The number of gold coins needed is 19 + 12 + 4  =  35. If you instead release  the person in cell 6 first, the cost  will be  19 + 4 + 13 = 36.  ",-0.207990034076,PRSN," At Area-51, USA, there is an advanced biological laboratory with compartments (numbered 1 to M) forming a straight line segment. There are genetically modified monkeys present in the lab, which can communicate with each other as humans do. Compartments number i and i+1 are adjacent, and monkeys in adjacent compartments are called ""neighbours."" A wall with a window separates adjacent compartments, and neighbours can communicate through that window.


All monkeys live in peace until a monkey is released. When that happens, the released monkey's neighbours find out, and each communicates this to his other neighbour in their own language. That monkey passes it on to his other neighbour, and so on until they reach a monkey with no other neighbour (because he is in cell 1, or in cell M, or the other adjacent cell is empty). A monkey who discovers that another monkey has been released will angrily break everything in his cell, unless he is bribed with a banana. So, after releasing a monkey in cell A, all monkeys housed on either side of cell A - until cell 1, cell M or an empty cell - need to be bribed.


Assume that each compartment is initially occupied by exactly one monkey, and that only one monkey can be released per day. Given the list of Z monkeys to be released in Z days, find the minimum total number of bananas needed as bribes if the monkeys may be released in any order.


Note that each bribe only has an effect for one day. If a monkey who was bribed yesterday finds out about another released monkey today, then he needs to be bribed again. The first line of input gives the number of cases, N. N test cases follow. Each case consists of 2 lines. The first line is as:

M Z

where M is the number of compartments and Z is the number of monkeys to be released.
This will be followed by a line with Z distinct cell numbers (of the monkeys to be released), sorted in ascending order and space separated.For each test case, output a line with the minimum number of bananas needed as bribes.",1177,2152,0,202,0.526119402985,8,1
14117,0.413706535889,TETRA,"  Of course a Sphere Online Judge System is bound to have some tasks about spheres.
So here is one. Given the lengths of the edges of a tetrahedron
calculate the radius of a sphere inscribed in that tetrahedron
(i.e. a sphere tangent to all the faces).   Number N of test cases in a single line. ( N  N lines, each consisting of a real number given with four digits decimal precision
equal to the radius of a sphere inscribed in the given tetrahedron.  Example   Input:
2
1 1 1 1 1 1
1000 999 998 5 5 6

Output:
0.2041
1.4189 ",-0.164916890613,TETRA,"Given the lengths of the edges of a tetrahedron calculate the radius of a sphere inscribed in that tetrahedron (i.e. a sphere tangent to all the faces).An integer t, 1<=t<=30, denoting the number of test cases, followed by t lines, each containing 6 integers describing the lengths of the edges of a tetrahedron separated by single spaces. The edges are not longer than 1000 and for the tetrahedron WXYZ, the order of the edges is: WX, WY, WZ, XY, XZ, YZ.t lines, each consisting of a real number given with four digits decimal precision equal to the radius of a sphere inscribed in the given tetrahedron.",1479,3799,1,6,0.278350515464,0,1
14220,-0.295871229917,NITK04,"  Ranbir has deposited some money in Deepika's account. Deepika would like to withdraw X $US from an ATM. The ATM machine will only accept the transaction if X is a multiple of 10, and Deepika's account balance has enough cash to  perform the withdrawal transaction (including bank charges).  For each  successful withdrawal the bank charges 0.50 $US.  Calculate Deepika's account balance after an attempted transaction.   The first like contains T ( T<20), the number of Test cases followed by T line containing X and Y each.  Positive integer 0 < X <= 2000 - the amount of cash which Deepika wishes to withdraw.  Nonnegative number 0<= Y <= 2000 with two digits of precision - Deepika's initial account balance.   Output the account balance after the attempted transaction, given as a  number with two digits of precision.  If there is not enough money in  the account to complete the transaction, output the current bank  balance.  Example  Input:  2 30 120.00
42 120.00  Output: 89.50 120.00 ",-0.201890465188,VITC01," Radhika would like to withdraw X INR from an ATM. The cash machine will only accept the transaction if X is a multiple of 5, and Radhika's account balance has enough cash to perform the withdrawal transaction (including bank charges). For each successful withdrawal the bank charges 0.50 INR.
Calculate Radhika's account balance after an attempted transaction. Positive integer 0 < X <= 2000 - the amount of cash which Pooja wishes to withdraw.
Nonnegative number 0<= Y <= 2000 with two digits of precision - Pooja's initial account balance.Output the account balance after the attempted transaction, given as a number with two digits of precision. If there is not enough money in the account to complete the transaction, output the current bank balance. ",1505,2799,0,60,0.622807017544,3,1
14221,-0.295871229917,NITK04,"  Ranbir has deposited some money in Deepika's account. Deepika would like to withdraw X $US from an ATM. The ATM machine will only accept the transaction if X is a multiple of 10, and Deepika's account balance has enough cash to  perform the withdrawal transaction (including bank charges).  For each  successful withdrawal the bank charges 0.50 $US.  Calculate Deepika's account balance after an attempted transaction.   The first like contains T ( T<20), the number of Test cases followed by T line containing X and Y each.  Positive integer 0 < X <= 2000 - the amount of cash which Deepika wishes to withdraw.  Nonnegative number 0<= Y <= 2000 with two digits of precision - Deepika's initial account balance.   Output the account balance after the attempted transaction, given as a  number with two digits of precision.  If there is not enough money in  the account to complete the transaction, output the current bank  balance.  Example  Input:  2 30 120.00
42 120.00  Output: 89.50 120.00 ",-0.127314048191,ATM5," Problem description. Pooja would like to withdraw X $US from an ATM. The cash machine will only accept the transaction if X is a multiple of 5, and Pooja's account balance has enough cash to perform the withdrawal transaction (including bank charges). For each successful withdrawal the bank charges 0.50 $US.
Calculate Pooja's account balance after an attempted transaction.Positive integer 0 < X <= 2000 - the amount of cash which Pooja wishes to withdraw.
Nonnegative number 0<= Y <= 2000 with two digits of precision - Pooja's initial account balance.Output the account balance after the attempted transaction, given as a number with two digits of precision. If there is not enough money in the account to complete the transaction, output the current bank balance.",1505,3982,0,60,0.614035087719,5,1
